"variable","Chamaecrista_anceps","Chamaecrista_aristata","Chamaecrista_arrojadoana","Chamaecrista_basifolia","Chamaecrista_blanchetii","Chamaecrista_brachystachya","Chamaecrista_burchelli","Chamaecrista_calycioides","Chamaecrista_cardiostegia","Chamaecrista_choriophylla","Chamaecrista_cinerascens","Chamaecrista_confertiformis","Chamaecrista_debilis","Chamaecrista_decora","Chamaecrista_depauperata","Chamaecrista_desvauxii_var_brevipes","Chamaecrista_desvauxii_var_desvauxii","Chamaecrista_desvauxii_var_langsdorffii","Chamaecrista_desvauxii_var_latistipula","Chamaecrista_desvauxii_var_mollissima","Chamaecrista_diphylla","Chamaecrista_distichoclada","Chamaecrista_flexuosa_var_flexuosa","Chamaecrista_kunthiana","Chamaecrista_lagotois","Chamaecrista_latifolia","Chamaecrista_mucronata","Chamaecrista_nictitans_subsp_brachypoda","Chamaecrista_olesiphylla","Chamaecrista_pascuorum","Chamaecrista_pilosa_var_luxurians","Chamaecrista_potentilla","Chamaecrista_ramosa_var_erythrocalyx","Chamaecrista_repens_var_multijuga","Chamaecrista_roraimae","Chamaecrista_rossicorum","Chamaecrista_rotundata_var_interstes","Chamaecrista_rotundata_var_rotundata","Chamaecrista_rotundifolia_var_grandiflora","Chamaecrista_serpens","Chamaecrista_simplifacta","Chamaecrista_supplex","Chamaecrista_swainsonii","Chamaecrista_tragacanthoides_var_rasa","Chamaecrista_tragacanthoides_var_tragacanthoides","Chamaecrista_ulmea","Chamaecrista_venulosa"
10,5.4107300451573e-06,0.000384910473575532,9.29346267848971e-06,8.68663588784648e-06,3.14217163675601e-05,0.000297609928767646,3.28572613224573e-08,0.00316760616348488,3.54211265728272e-05,3.98814280349384e-05,3.93451231972434e-12,2.88365801747436e-08,2.24582347862847e-07,0.000508163722462622,0.000203046790350164,0.000270037350550085,3.64796091840543e-05,9.10340679501803e-05,0.000203042207960684,0.000150525006434343,0.000544215633518381,6.51950258766169e-07,0.000503362933184101,0.000228938225642456,0,4.64830801086844e-14,2.10710625366983e-05,0.000226974596651141,2.93205091085259e-12,0.000506383148823858,0.00162476400294144,2.53491200889039e-10,2.97091232831455e-05,0.00051023436328722,7.39514333665733e-05,2.60815618837567e-14,1.45094290163071e-06,4.24378550543172e-13,0.000194036940585548,0.00139089827982321,1.48677764460585e-12,0.000630335078349093,0.000638389388749398,0.00172912444152662,4.11514073274235e-08,0.000402100157588401,0.00043707837853692
11,3.46816471718683e-06,0.000357340770519019,1.26439729116405e-05,8.98061749159248e-06,4.20125049763834e-05,0.000394691270429599,2.29020914354358e-08,0.00254254294253523,2.73862408689759e-05,4.0502898341225e-05,2.13239588156204e-12,4.13133354157918e-08,1.07089495961095e-07,0.000491072385209127,0.000226280681899282,0.000224275659332376,3.4294284217467e-05,8.09843398265794e-05,0.000207445323054985,0.000157025110517434,0.000580814146705055,6.8318710353923e-06,0.000522769930502292,0.00020471429405687,0,2.61097088963473e-14,1.73374132742988e-05,0.000184587768043335,1.80266150754159e-12,0.000488321800897575,0.00137371542331377,1.57465435974565e-10,1.86176675348727e-05,0.000491475465136536,7.45436509255873e-05,1.08729016922948e-14,1.40450514078702e-06,3.64077735911454e-13,0.000184727210932718,0.00106772408526574,5.52497671967199e-13,0.000512458305209311,0.000608833382934718,0.0014223504416727,3.50626122796726e-08,0.000293943456833702,0.00053519564809584
12,6.22416384690986e-06,0.000391762532750195,1.457818585699e-05,7.59276774149159e-06,3.36066397022799e-05,0.000360650785684539,1.58993649805154e-08,0.00227399424563193,3.28959157750501e-05,3.97733137709498e-05,5.51245481461057e-12,4.51785848984138e-08,1.93811333708105e-07,0.000569646633615877,0.000237267170377679,0.000221328671139251,2.90106123673077e-05,7.81334650780265e-05,0.000154441353699617,0.000134142772573984,0.000363889686931383,4.33075649680261e-06,0.00042207801573444,0.0001566868527903,0,7.07209490592499e-14,6.45600065938855e-05,0.000163157748621561,3.58021468236502e-12,0.000444752532579797,0.00131424172798927,3.97757681755505e-10,1.585803404994e-05,0.000435902836303968,6.12158156441727e-05,3.12716615744698e-14,1.89088495757407e-06,4.75450558525564e-13,0.000166090457424725,0.00104330691780022,1.02951824105195e-12,0.000459188875106288,0.000539167231765432,0.00254949159748767,4.61080691105595e-08,0.000481416826110108,0.000428905547979302
13,5.70858214267178e-06,0.000473060403092692,1.28781345942905e-05,9.40603341318016e-06,3.53721179856325e-05,0.000285794561481233,5.29737919430171e-08,0.00246958510504573,3.75515316348859e-05,5.49952373311908e-05,3.89678447563347e-12,6.00686571227573e-08,1.18925446287257e-07,0.000469836645424068,0.000179022277826846,0.000223919296643142,2.92850415917299e-05,8.72479627092255e-05,0.000246326020312369,0.000131637677954228,0.000713002118975896,2.76232504730651e-05,0.000490928590238773,0.000193992166200183,0,4.82529210059569e-14,1.89425164475855e-05,0.000175033481044001,3.18159632378146e-12,0.000503754757035986,0.00146414977822069,3.53471563892171e-10,3.13540241246157e-05,0.000414132142669201,9.42743889403476e-05,2.62552652306816e-14,1.93881310609578e-06,1.02956757900111e-12,0.000180564031689309,0.00103115747231898,6.32397071836579e-13,0.000618040505504022,0.000601008898629024,0.00164361112141027,8.15600522243996e-08,0.000467193431171605,0.000465577998467442
14,5.0050034667944e-06,0.000449409749714585,1.63650649442259e-05,1.31489890780912e-05,2.28225843648867e-05,0.000295137015912459,6.65069136344545e-08,0.00183106172527371,4.18784613692384e-05,4.25290683921749e-05,4.49440780181921e-12,4.21917768031693e-08,1.34371099901709e-07,0.000472485986224245,0.000170391437900387,0.000213550689273286,2.13612528049117e-05,9.20529307929203e-05,0.000192533610992359,0.000117297233750039,0.000331980165214531,2.47853679611279e-05,0.000355954640292846,0.000195128501363436,0,5.62340905544976e-14,1.83936008107234e-05,0.000153882570762926,3.1103420245719e-12,0.000364176453566725,0.00121686465107112,3.79954615313441e-10,2.51359647455719e-05,0.000325810262627533,6.85477181105825e-05,4.4694323299808e-14,1.75174651137894e-06,1.15472301307042e-12,0.000133335861188207,0.000871033585428438,8.39892607027146e-13,0.000409363176220578,0.000431210406818748,0.00306055747459824,5.8425427868694e-08,0.000672286397733434,0.00040975522633395
15,1.00077028938541e-05,0.000585989089575885,1.49139432539325e-05,1.16413432029459e-05,2.25558108652206e-05,0.000375759550216761,7.35512327307611e-08,0.00242671048516149,4.98407822830409e-05,5.70225191812663e-05,7.00895312667127e-12,7.84191196809298e-08,1.63920122447797e-07,0.000596198033731512,0.000278079247148729,0.000262383266888068,2.94642939038225e-05,0.000101661509977104,0.00024166252754073,0.000152090473427787,0.000386321031897529,3.06267667357758e-05,0.000418392174326709,0.000200174995555887,0,1.0060179679567e-13,3.57776231949833e-05,0.000193348747158866,6.37569675735936e-12,0.00060104904993787,0.00152554851627013,9.58734545516135e-10,1.64536051417921e-05,0.000488347618057224,0.0001159574205641,7.36655483707176e-14,2.58416346334013e-06,1.39084880196094e-12,0.000181815347229554,0.00109331713407961,1.13292767598132e-12,0.000600086026837279,0.0005210809622121,0.00193463537459609,2.59323690605799e-07,0.000399431032144272,0.000523484505148533
16,6.9219032882472e-06,0.000520741962761772,1.4543421161372e-05,1.05606310291728e-05,1.69264697108499e-05,0.000256192027979041,1.79066716111389e-07,0.00217584062921664,5.36100764712416e-05,6.43273295361439e-05,5.13925827526961e-12,7.74228340411986e-08,1.64536141773457e-07,0.000535230403334193,0.000209265987417896,0.000258679748172178,2.31402341611545e-05,9.51716563712822e-05,0.00024158736351531,0.000128308616083777,0.000454621163317004,2.81430800397677e-05,0.000418270928235252,0.000186087543030506,0,5.75773444627596e-14,2.12113007590044e-05,0.000173095731681314,5.6961184731594e-12,0.000419669860760763,0.00154329190143044,9.43974752729915e-10,8.58125570196915e-06,0.000335829455163723,9.07470172324973e-05,7.35837892652473e-14,2.3571254733469e-06,1.15619657650747e-12,0.000137377676918706,0.00104894247859839,1.26523321474205e-12,0.000676877137336,0.000462599112993077,0.00146511103429169,1.19046549236925e-07,0.000666514017802989,0.000427622584109725
17,1.12026740959511e-05,0.000635976316798325,2.15478817846746e-05,1.5561318753472e-05,1.87502219825256e-05,0.000311291154383904,4.04168200791264e-07,0.00220112789883897,9.54696220176075e-05,8.9617292228611e-05,8.69163787686687e-12,9.21525699800808e-08,1.61230074568335e-07,0.000635430620630461,0.00024399556536126,0.000298912936621028,2.36518053518283e-05,0.000129051759812816,0.000392687415017715,0.00016251138137736,0.000544629372146656,8.16748016695665e-05,0.000492286614833512,0.00025818081181791,0,1.3195621950309e-13,1.49690654447101e-05,0.000212006527214568,1.04795603198022e-11,0.00054636673715933,0.00163189052780857,1.48791306792601e-09,1.90369172979942e-05,0.000393334601237504,0.000133561087359464,1.83471131132116e-13,3.58296843390083e-06,3.08936146614008e-12,0.000160651172380079,0.00107533219997454,2.7736853665662e-12,0.0007090175960788,0.000486483845145191,0.00173122637394832,3.39242377822879e-07,0.00176210172322365,0.00065663634184869
18,1.30652898896127e-05,0.000695991724220296,1.5834143089713e-05,1.36100309183141e-05,1.41161655106115e-05,0.000206713859392802,3.39058451623638e-07,0.00171489276195429,6.59704017792998e-05,5.57553325462003e-05,8.44868065544786e-12,9.59086812787667e-08,1.65984586704163e-07,0.000545043678518921,0.000241207842399399,0.000271342789468247,2.17751270965268e-05,0.000103032055921413,0.000238475838261086,0.00012847976034825,0.000350197369071436,4.60664959079101e-05,0.000389078660069005,0.000195537703203593,0,1.26339567400714e-13,1.17373929210123e-05,0.000184758919899875,1.00872399834222e-11,0.000402757118626029,0.00136274935119421,1.49464624258877e-09,1.19468053789899e-05,0.000310890434488338,8.77329612096824e-05,1.04208809568233e-13,2.89018847220374e-06,2.17467622206475e-12,0.000124537682772413,0.00089660286096154,2.01920460637626e-12,0.00051983433033672,0.000416641682848977,0.000994257205535041,1.75221258301949e-07,0.00148937854974978,0.000442609821140457
19,8.72612606953442e-06,0.000691469624583685,2.57510121382e-05,1.44694446897678e-05,1.70972784945334e-05,0.000236799840224696,2.33169846364868e-07,0.00160283096918904,6.2319526812374e-05,5.58113247769722e-05,9.30955856815526e-12,9.77756645447911e-08,1.56351793178038e-07,0.000595220523315739,0.000209813348579835,0.000275640723691165,2.15733896483996e-05,0.000104291157797851,0.000252684199384846,0.000143003449081621,0.000348027820377921,5.72548857780628e-05,0.00043077758691122,0.000195469373822631,0,1.2869258020731e-13,1.30959917694285e-05,0.000181849828333608,8.89473682701115e-12,0.000420666328015895,0.00128792918017212,1.63712026893466e-09,1.31128591240009e-05,0.000313296806320484,0.000101507355323215,1.35737700356835e-13,3.07630834362132e-06,2.39512697594361e-12,0.00012336619510659,0.00082979636508093,9.31730023341276e-13,0.000488978618741723,0.000445197486669647,0.00135828183589159,1.92550764281384e-07,0.00158300973469164,0.000470384694012954
