"variable","Chamaecrista_anceps","Chamaecrista_aristata","Chamaecrista_arrojadoana","Chamaecrista_basifolia","Chamaecrista_blanchetii","Chamaecrista_brachystachya","Chamaecrista_burchelli","Chamaecrista_calycioides","Chamaecrista_cardiostegia","Chamaecrista_choriophylla","Chamaecrista_cinerascens","Chamaecrista_confertiformis","Chamaecrista_debilis","Chamaecrista_decora","Chamaecrista_depauperata","Chamaecrista_desvauxii_var_brevipes","Chamaecrista_desvauxii_var_desvauxii","Chamaecrista_desvauxii_var_langsdorffii","Chamaecrista_desvauxii_var_latistipula","Chamaecrista_desvauxii_var_mollissima","Chamaecrista_diphylla","Chamaecrista_distichoclada","Chamaecrista_flexuosa_var_flexuosa","Chamaecrista_kunthiana","Chamaecrista_lagotois","Chamaecrista_latifolia","Chamaecrista_mucronata","Chamaecrista_nictitans_subsp_brachypoda","Chamaecrista_olesiphylla","Chamaecrista_pascuorum","Chamaecrista_pilosa_var_luxurians","Chamaecrista_potentilla","Chamaecrista_ramosa_var_erythrocalyx","Chamaecrista_repens_var_multijuga","Chamaecrista_roraimae","Chamaecrista_rossicorum","Chamaecrista_rotundata_var_interstes","Chamaecrista_rotundata_var_rotundata","Chamaecrista_rotundifolia_var_grandiflora","Chamaecrista_serpens","Chamaecrista_simplifacta","Chamaecrista_supplex","Chamaecrista_swainsonii","Chamaecrista_tragacanthoides_var_rasa","Chamaecrista_tragacanthoides_var_tragacanthoides","Chamaecrista_ulmea","Chamaecrista_venulosa"
0.24,0.000446083029998319,5.04291928091681e-05,0.0105719479271023,0.00202663238362625,0.000608797001637866,8.9401961999425e-05,0.00252049293896593,0.00173800495702709,0.00475112072665158,0.00167839700078455,0.000315526087919677,0.00392033220354154,0.00132539427289964,0.000513608936974664,0.0017720644916733,0.00906361722699053,0.00058507429881193,0.00359039693643662,0.00140009679570188,0.000704227558460579,0.0142371366674593,0.00460655076367898,0.00551989571717759,0.00429984123278498,0.0267886604172681,0.00598747423276465,0.00823465224781684,0.00311474059733214,0.00559279621998659,0.000354098031637293,0.00265004442032433,0.0112117400437347,0.000947627811234093,0.000974425015216304,0.000698672626437482,0.0113078137499766,2.26781168778203e-05,0.00697018616830219,0.00218236394919688,0.000789260636774743,0.00912663617047301,0.00400655743963034,5.98897361968869e-05,0.000126765215709916,0.00503586719722668,2.88894557578662e-12,0.000650248435355957
0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.29,8.53131130493421e-05,4.21935238165401e-06,0.00688121973003295,0.000915664345997739,0.000236804936244895,2.21444729893546e-05,0.000880185458981078,0.000617168798284533,0.000767236678455589,0.000747154007236024,7.47889809306612e-05,0.00260951453276686,0.000531128956501313,0.000151297243769295,0.000923244841423239,0.00433525337426485,0.000202915093519083,0.00131425075043222,0.000544687272034363,0.000268340898216431,0.00900330741917018,0.00230758013592985,0.00265568084506361,0.00175446954301764,0.0184376289754748,0.00158167827259929,0.00440120449069188,0.000854503948454717,0.00211118987526451,0.000112848764029525,0.000972481106746139,0.00394895407840227,0.000302898674164323,0.000378078263560498,0.000254048485642504,0.00436276896780339,3.12923281499522e-06,0.00256608076294901,0.00107320241495302,0.000256592035383521,0.00603732855882182,0.00180901924402684,1.42219051039043e-05,3.02918833031469e-05,0.00188403941792639,1.76030415305915e-14,0.000225809671762034
0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33,4.17678487439347e-05,8.64180011033501e-08,0.00486123692058719,0.000450170352916417,0.000102452058134777,5.41439158628104e-06,0.000410365671207423,0.000220155559472181,9.49232804476377e-05,0.000369906341626481,4.19538578632757e-05,0.00111927165211164,0.000194221063169218,3.60481098653958e-05,0.000420059266288006,0.00196018517434675,6.82799690570394e-05,0.000494201082022074,0.000213018645750387,0.000106476436405846,0.00584394316129743,0.00210396601755499,0.00121835971781873,0.000726379264044782,0.0157242246888362,0.00163065940166668,0.00322682215861396,0.000203533938709581,0.00130298768466822,3.59736700793779e-05,0.000348732128716339,0.00326661779380739,0.000115657256499416,0.000145131846412049,9.04965674994591e-05,0.00297759781169658,8.74664842389687e-07,0.00143363190900361,0.000529205306049402,8.52039418829465e-05,0.00256047333760721,0.000869555921160762,3.38673968028137e-06,5.60061330541993e-06,0.000671872110220963,2.34388756384621e-17,9.14071007749587e-05
