"SIMMAP","BM1_AICc","BMS_AICc","OU1_AICc","OUM_AICc","OUMA_AICc","OUMV_AICc","OUMVA_AICc"
38,91.9246798967624,83.1498020698948,NA,62.1046323168479,76.7094245537658,76.9371704507817,NA
39,91.9246798967624,84.6350192697452,NA,62.3607347571469,NA,68.9730948703884,NA
40,91.9246798967624,87.2934145441733,NA,62.8892049380853,75.8631810041906,70.0419848043886,86.716015758209
41,87.3265195926098,80.8379311669551,58.0501670170754,62.7758738618628,75.5400375379083,68.6566175475248,NA
42,87.3265195926098,79.2060621333658,58.0501670170754,62.7705613143241,NA,77.3690370120679,NA
43,87.3265195926098,87.1097304368503,58.0501670170754,62.8826768217609,NA,65.5804748433545,NA
44,87.3265195926098,81.0439406655693,58.0501670170754,58.337300156265,NA,65.1487348532579,NA
45,87.3265195926098,82.0997088843141,58.0501670170754,62.9475084031631,67.1209848307448,67.41155727092,NA
46,87.3265195926098,79.8355455359627,58.0501670170754,59.6627505516227,NA,70.4144040590581,NA
47,87.3265195926098,75.4206884189757,58.0501670170754,60.3465663833939,NA,66.6483716043312,NA
48,87.3265195926098,82.4264415907551,58.0501670170754,62.8517593231017,79.3766251863972,68.4899009733155,NA
49,87.3265195926098,85.2213442928742,58.0501670170754,62.5324728090072,NA,62.5664862804647,NA
50,87.3265195926098,87.4042950408848,58.0501670170754,62.6305163593219,NA,68.7461949359511,NA
51,74.0703202180858,62.987236080898,57.0187777744456,60.1196452187895,NA,65.0887292873289,NA
52,74.0703202180858,66.0558765690568,57.0187777744456,60.2852292060721,69.0970049199071,66.2394825303085,NA
53,74.0703202180858,69.2607399874072,57.0187777744456,61.921721147703,NA,64.8701763890712,NA
54,74.0703202180858,70.3292952924516,57.0187777744456,62.0668970969671,68.666065034725,66.5860728513834,77.6982582497382
55,74.0703202180858,72.6754231466697,57.0187777744456,59.5239568177407,67.8055306624306,65.7072557831832,73.5596587324212
56,74.0703202180858,75.5148447410032,57.0187777744456,61.5219813038872,61.8895240574773,67.0882013111532,NA
57,74.0703202180858,70.469168692209,57.0187777744456,60.8187556713607,NA,66.3722905747792,NA
58,74.0703202180858,73.4298424921703,57.0187777744456,58.0686973810536,68.0070440988381,58.1517652412546,68.782929983213
59,74.0703202180858,74.4151768172616,57.0187777744456,61.8162478143528,NA,73.2438003309703,NA
60,74.0703202180858,71.1457733338129,57.0187777744456,58.7137893919571,69.1177962257152,66.0856083193353,74.6971566721413
61,90.9015008002339,84.5780301646467,58.1341017456702,62.8807954793337,82.59109328129,68.4482450169403,NA
62,90.9015008002339,83.0727849272289,58.1341017456702,62.9073652554087,NA,68.3395498913975,NA
63,90.9015008002339,89.0909392978335,58.1341017456702,62.264167917692,75.5419312801052,65.5567897380278,NA
64,90.9015008002339,77.5854844633336,58.1341017456702,62.8018460200317,NA,75.6327894347441,NA
65,90.9015008002339,84.3534577360039,58.1341017456702,62.8808000389562,71.9594699121277,66.3479454393466,NA
66,90.9015008002339,85.3510917506453,58.1341017456702,62.8807789190789,NA,71.4177052595751,81.4822767260422
67,90.9015008002339,84.5314314547787,58.1341017456702,62.8773611629746,NA,69.0608757660056,91.5365830205864
68,90.9015008002339,82.1925936294809,58.1341017456702,62.3601526268504,NA,NA,NA
69,90.9015008002339,86.5151187983557,58.1341017456702,62.8807968558398,NA,69.1860287856903,NA
70,90.9015008002339,86.7690799522423,58.1341017456702,62.8612209818564,NA,65.1619274412795,77.7943646693092
71,83.757654483458,82.6124315578959,NA,62.2654410353407,NA,68.4647154330817,NA
72,83.757654483458,76.4381119129035,NA,62.6007442143139,80.5399203298241,NA,NA
73,83.757654483458,83.5356281287667,NA,62.880695952886,NA,69.0446220322025,NA
74,83.757654483458,80.2571575953139,NA,62.7349805643828,NA,65.8128012966214,NA
75,83.757654483458,79.6677120906567,NA,62.9419465434222,NA,67.9383538725781,NA
76,83.757654483458,78.220976168486,NA,62.7380983056461,74.3500129682746,70.0224855282755,73.6357297941314
77,83.757654483458,80.9704215555039,NA,62.6260083313456,NA,70.1252314611482,NA
78,83.757654483458,80.6081699758401,NA,62.7860882355252,74.3182879047479,64.2458168905852,NA
79,83.757654483458,77.0158771479683,NA,61.5352385444881,NA,67.1068956717916,NA
80,83.757654483458,81.7907598625699,NA,62.8793539115116,NA,NA,NA
81,84.6611538413322,80.5289468511833,57.8396908158172,60.4716779734287,NA,64.901131663763,NA
82,84.6611538413322,84.1291991490452,57.8396908158172,62.7639622059251,NA,67.5913045063026,NA
83,84.6611538413322,83.4000417421318,57.8396908158172,60.3681239642524,NA,NA,NA
84,84.6611538413322,84.8055459634923,57.8396908158172,61.8267333841348,NA,65.3160640272786,NA
85,84.6611538413322,77.2319592469249,57.8396908158172,61.3827276885886,80.9927740569546,67.0998049453025,NA
86,84.6611538413322,84.4216942453385,57.8396908158172,60.1233640463271,NA,73.4516018473777,81.8761177223668
87,84.6611538413322,80.213140832721,57.8396908158172,62.55522629687,78.6239776352104,75.3152347845632,NA
88,84.6611538413322,77.6698633718264,57.8396908158172,63.0541402294696,NA,68.875047625974,NA
89,84.6611538413322,82.9162024496589,57.8396908158172,60.7538969387694,82.7850774090733,66.2765613914591,NA
90,84.6611538413322,80.3378914066702,57.8396908158172,63.0060078665217,NA,NA,NA
91,89.0880162037404,83.557473464665,57.9769288160569,62.6644193317149,NA,69.835652187079,NA
92,89.0880162037404,80.3697540577615,57.9769288160569,62.778905949104,86.6292207782082,68.6565726608615,NA
93,89.0880162037404,82.7536940965676,57.9769288160569,61.4663802950664,NA,68.4094454609089,82.5418506856546
94,89.0880162037404,83.6068519653239,57.9769288160569,62.9047344988494,NA,75.7334653479816,NA
95,89.0880162037404,77.3274265082372,57.9769288160569,62.0200758787417,NA,69.416055054611,NA
96,89.0880162037404,84.3365231458065,57.9769288160569,61.9393700092011,70.238551286785,69.6347213132458,NA
97,89.0880162037404,79.6106581607291,57.9769288160569,62.7985493831268,NA,64.7310516787581,NA
98,89.0880162037404,83.4396583141205,57.9769288160569,62.3464586194477,77.2544818678037,73.8064218838001,82.8211933582182
99,89.0880162037404,85.6677547204487,57.9769288160569,62.7625267156182,NA,74.5170364130176,NA
100,89.0880162037404,84.3753797562718,57.9769288160569,62.7203042754961,73.1140577312884,70.4400273918268,NA
101,80.6370804747637,78.0824847540798,58.1338676471641,62.333032919469,NA,70.1324847683529,NA
102,80.6370804747637,80.6967992492821,58.1338676471641,62.2472988391874,68.3994894691327,68.6084461198344,NA
103,80.6370804747637,73.5073622689107,58.1338676471641,62.8625795008896,NA,71.0564760724983,NA
104,80.6370804747637,78.676965448593,58.1338676471641,62.8795402399116,NA,68.6569320891939,NA
105,80.6370804747637,72.7122572293432,58.1338676471641,60.8540988295987,NA,64.5817213655448,NA
106,80.6370804747637,78.6907989384819,58.1338676471641,61.9553978417506,NA,NA,NA
107,80.6370804747637,73.6197114405309,58.1338676471641,62.1160429034661,NA,62.1942490408187,NA
108,80.6370804747637,74.9460883187491,58.1338676471641,62.8643449186462,NA,67.9394301448734,NA
109,80.6370804747637,74.0397700064976,58.1338676471641,64.6027495453407,75.1386368988108,70.6552443702355,NA
110,80.6370804747637,73.6214218221209,58.1338676471641,62.8987599926837,NA,67.0904053792056,NA
111,91.0001032305355,86.6201819586764,58.1318161892278,63.0049459612861,NA,69.9699889557676,NA
112,91.0001032305355,85.8366123385177,58.1318161892278,63.2786293023405,NA,71.2985550013761,NA
113,91.0001032305355,90.2455410481502,58.1318161892278,63.5912217374217,73.7016092251506,73.68111722748,NA
114,91.0001032305355,80.8463612938187,58.1318161892278,62.8788964031614,NA,68.5442389528798,NA
115,91.0001032305355,81.485091360579,58.1318161892278,62.7240683463075,82.2449500116366,68.0803234113202,NA
