tree,ER, SYM, ARD, ER/ER, SYM/SYM, ARD/ARD, ER/ARD, ER/SYM, ARD/SYM
27,85.04509048,83.8033582,101.6560056,79.79284026,109.5009385,212.551587,111.8967699,90.05096185,136.3137244
28,72.21423599,78.32095771,97.5701915,76.23212034,110.1885419,213.590366,107.9402349,83.84496808,133.5342453
29,77.19815103,83.82747617,118.1555845,77.40366071,108.8092557,216.0323665,109.0132592,88.90162713,138.9931749
30,71.18786395,75.8634654,95.61421142,75.39029558,104.4732407,212.3526443,109.3275719,83.2278132,132.4740728
31,69.4074855,76.92897188,96.76278457,74.46290324,105.2395156,212.0046343,106.4687232,87.29436108,133.1539289
32,71.03108785,77.70898422,96.94459168,75.21662998,104.2749107,214.2110748,106.0953305,85.19537006,134.081107
33,70.10790666,75.18380101,95.04859841,74.33239089,102.8346425,210.7756413,105.0114233,83.08887502,132.3047229
34,70.58912693,76.32013085,95.99256667,75.6215989,104.3677771,210.1072151,106.2636241,83.5277967,135.1840263
35,72.37935785,78.27711722,97.97590236,74.96907213,105.4256373,212.0304875,108.8380916,83.73019581,135.4260678
36,71.4571695,78.36814814,97.25193055,75.24345979,107.2390008,213.4245862,108.3788075,83.56221133,136.8584179
37,78.75046768,82.10989245,100.7612753,77.67056564,106.603114,214.9146324,110.0175259,88.29048043,136.2698885
38,71.89844883,81.52531758,98.95428529,76.23745358,109.7268816,213.1311683,110.1802723,85.45817789,138.1465263
39,71.81798063,77.87665419,97.91781844,76.01894932,105.5411964,211.9558971,107.4892619,83.90828879,136.6224766
40,72.19224187,77.94526182,97.84759535,76.1419652,104.8373926,218.5368319,108.1763774,83.97835086,134.1274477
41,73.07531934,77.62150389,97.37894452,75.83768807,104.4750455,213.7211657,106.4069275,84.48439478,133.1545026
42,71.87939745,77.19860217,97.47621892,75.73190328,104.162473,211.6146014,106.568752,83.88736552,132.7542768
43,71.05749716,76.61465264,96.93369662,75.58252179,104.1964987,210.9223535,106.5145374,83.52994392,138.4600293
44,71.47334449,75.2792766,94.66406384,75.04821245,103.9230682,211.9427323,107.2136962,82.10175437,132.1519664
45,72.25750653,77.40725139,96.85767824,76.96370133,107.0924384,212.8498297,107.1133296,83.24701811,135.4141248
46,72.89559946,79.33632642,98.96452397,77.10782189,106.1652696,212.5634935,109.5884621,85.41174109,135.7165274
47,68.94753699,75.13250317,95.19224303,74.53441848,104.8157638,211.1389516,105.4314453,81.16322755,133.8579726
48,72.18381789,79.24672991,97.56780164,75.53688227,105.8113569,212.2176208,108.3712137,85.09431716,136.6297506
49,71.71262257,77.01882466,96.71971252,75.16315312,106.7016999,210.7476975,106.5886277,84.3774719,136.1216016
50,71.91611083,76.84042078,96.40410937,74.62764333,104.1864108,211.861618,107.9841674,82.86590175,133.789378
