"","Chamaecrista_anceps","Chamaecrista_aristata","Chamaecrista_arrojadoana","Chamaecrista_blanchetii","Chamaecrista_brachystachya","Chamaecrista_burchelli","Chamaecrista_calycioides","Chamaecrista_cardiostegia","Chamaecrista_choriophylla","Chamaecrista_cinerascens","Chamaecrista_confertiformis","Chamaecrista_decora","Chamaecrista_depauperata","Chamaecrista_desvauxii_var_desvauxii","Chamaecrista_desvauxii_var_langsdorffii","Chamaecrista_desvauxii_var_latistipula","Chamaecrista_desvauxii_var_mollissima","Chamaecrista_diphylla","Chamaecrista_distichoclada","Chamaecrista_flexuosa_var_flexuosa","Chamaecrista_lagotois","Chamaecrista_latifolia","Chamaecrista_mucronata","Chamaecrista_nictitans_subsp_brachypoda","Chamaecrista_olesiphylla","Chamaecrista_pascuorum","Chamaecrista_pilosa_var_luxurians","Chamaecrista_potentilla","Chamaecrista_repens_var_multijuga","Chamaecrista_roraimae","Chamaecrista_rossicorum","Chamaecrista_rotundata_var_interstes","Chamaecrista_rotundata_var_rotundata","Chamaecrista_rotundifolia_var_grandiflora","Chamaecrista_simplifacta","Chamaecrista_supplex","Chamaecrista_swainsonii","Chamaecrista_tragacanthoides_var_rasa","Chamaecrista_tragacanthoides_var_tragacanthoides","Chamaecrista_ulmea","Chamaecrista_venulosa"
"Chamaecrista_confertiformis",0.942551877311181,0.894185598607286,0.987087491222723,0.982526681502904,0.966033201909772,0.760268332162456,0.560404190382677,0.971415488747809,0.979035413700968,0.948753525538937,NA,0.806844382829381,0.652598385171759,0.684779370727409,0.736336093435637,0.807415231903937,0.785745129478256,0.7596706738392,0.47469969486969,0.720414692173787,0.818359686803029,0.803639295527906,0.602300791970412,0.507280825131742,0.85844446468134,0.645704020773998,0.515602668978737,0.83058131701265,0.638233517414088,0.580843552811889,0.854874501462629,0.909918272384255,0.834742092001949,0.818720204454507,0.631055541234697,0.349400761185925,0.718758250340948,0.644160712189285,0.796439922196439,0.743447560232241,0.796870277280729
"Chamaecrista_decora",0.921299161946507,0.966057616754236,0.946937725631936,0.970329812424978,0.981058859218679,0.869838961317914,0.67386244005323,0.992088761842711,0.975574234066014,0.875296025432778,0.968782869473463,NA,0.541271525802699,0.810121435487815,0.871354429337246,0.85765811016875,0.863072961663886,0.809895623321383,0.470449103202906,0.837201489869902,0.891654279666755,0.624893414130672,0.470446401550082,0.656674859166191,0.742108452463413,0.760672670679453,0.625917337352568,0.84360478372859,0.769640343718313,0.711498995837997,0.792253780290178,0.747706875475498,0.741529844952751,0.826919643054649,0.811784930951653,0.438454946831871,0.828313927990634,0.817312813217913,0.856142490322104,0.867475269014283,0.739147606467107
"Chamaecrista_depauperata",0.909000894302383,0.70722512062556,0.940395468200616,0.939723588787189,0.912782418326132,0.624834528804614,0.492553368356061,0.887521776132814,0.92435071324001,0.970395476052558,0.895186492040594,0.839924597196881,NA,0.528878715277523,0.554069325609408,0.662836707035652,0.636193268112253,0.5838205318859,0.44380490342785,0.542279291473223,0.55103995267951,0.733037506178987,0.881737215034325,0.364193391985939,0.591395285251908,0.5123655781205,0.400730552711872,0.516501209598745,0.474704886379872,0.449942783183837,0.558262377467577,0.680219758843531,0.572041899145069,0.640240623386975,0.383629329826667,0.286970241793503,0.509714897259215,0.448773229147215,0.494030279929946,0.500716753749027,0.799106059609585
"Chamaecrista_desvauxii_var_desvauxii",0.881922732701304,0.933945977090209,0.910944109670628,0.95107094814541,0.979747998083182,0.925052466292134,0.796999018611902,0.973397785582799,0.942431401262269,0.82502082444346,0.916810598680401,0.971315978464211,0.836267842650751,NA,0.8855999597964,0.813955016636835,0.856296767459016,0.831773527132622,0.479179057249994,0.960332651361171,0.831326118699786,0.553469683185288,0.448571969506681,0.792575122072548,0.612001924787935,0.900921630883624,0.755409635868407,0.686550054818416,0.906378055055263,0.882229608741749,0.643520705651326,0.658959488592253,0.606963605331119,0.81983681586271,0.759125652541361,0.556558713472839,0.858011096323488,0.845788791319778,0.692806315919487,0.731607387152524,0.715479156216443
"Chamaecrista_desvauxii_var_langsdorffii",0.929733877557906,0.945835106839764,0.933877750255753,0.968328103195516,0.98292150097676,0.890837150338103,0.675036083410107,0.993463337912734,0.976724680635278,0.872938198045024,0.94440175090592,0.984071128555094,0.869647061992294,0.97993193045535,NA,0.870603929359325,0.902163042346733,0.829129717520604,0.491132230739725,0.89813557534792,0.844804054603953,0.587241378998756,0.480191545503492,0.728285406932837,0.649486793447361,0.803771844363665,0.657363511454644,0.729850102771592,0.811163916202034,0.775214620224736,0.685047382881426,0.695694691574822,0.645437971689988,0.816598545458998,0.820585669797675,0.46068369205424,0.803521596498516,0.885052551778215,0.741501580438465,0.800987135492211,0.747526366304276
"Chamaecrista_desvauxii_var_latistipula",0.956180958309481,0.901839794858995,0.963431996579313,0.987950793483916,0.987384032768761,0.832180502901799,0.640453334510453,0.988683543614458,0.988157719909194,0.926200424281992,0.959530581269573,0.970922140485663,0.924512771289314,0.964390344727441,0.988403938271796,NA,0.94858273139957,0.862080966629964,0.501366663977561,0.85025595154136,0.847447770591125,0.698354925389566,0.59823622071441,0.624126478295178,0.711165404593109,0.770541181126996,0.625907686988881,0.753074501287478,0.759089074632057,0.699562192877318,0.731791553439834,0.788985826775303,0.702697069239607,0.896985654522962,0.701413553265169,0.438079540459771,0.818589234392227,0.758692048101047,0.747046601515243,0.769799201333308,0.859175670376313
"Chamaecrista_desvauxii_var_mollissima",0.9363877981282,0.919706414338585,0.962541278251458,0.987532128397658,0.996928847519166,0.860801129739902,0.679314706197973,0.994822552195709,0.986658589925684,0.912649912408058,0.960507464546903,0.980154137250203,0.915590133419423,0.978677087611931,0.991477489843675,0.993290343855995,NA,0.853289125196245,0.483443564431781,0.892370077609411,0.858927932821865,0.671827911725533,0.557983184804554,0.670467107469286,0.68821306066484,0.801696802099321,0.65363225997648,0.743961889117809,0.800670095260536,0.739990976022559,0.713039626520451,0.762174842866362,0.680471525091917,0.879047209611761,0.739316890039564,0.461309816951001,0.829396864471209,0.801519148749464,0.742384754082209,0.778453526026408,0.834718141320262
"Chamaecrista_diphylla",0.907046957166176,0.896209253362831,0.917290373371275,0.959341424529977,0.971089872550051,0.835357271663818,0.804010618935035,0.953444128319637,0.937942944112683,0.859418345607614,0.913863154328065,0.949729632588337,0.872994676200696,0.977493925019832,0.955535241472883,0.961274194790183,0.966635455995089,NA,0.496261956875673,0.868857270055871,0.796061529094708,0.631152779814414,0.516078133353549,0.627465798921025,0.685436867305801,0.849095024820715,0.71132429014537,0.728285481195749,0.830430900774751,0.733579179366297,0.705164760894741,0.739299885176848,0.677895153608562,0.910990092136296,0.672964858678493,0.542835364404718,0.901158578330205,0.732963345125095,0.726985349158498,0.748744605760931,0.780182643862665
"Chamaecrista_distichoclada",0.802963173415822,0.635472261828211,0.671370805452973,0.702912877703837,0.67219898096247,0.520853793408089,0.37702268570986,0.697918796216429,0.717509874217365,0.683503878676238,0.679007079883465,0.68274528806258,0.651515777022319,0.662687667541034,0.725617503226213,0.760205217132229,0.692537463093121,0.70450107728461,NA,0.481546096177092,0.45908174924225,0.463439684556917,0.448137678958373,0.369602647067642,0.468809591415522,0.473961740727186,0.405821826494717,0.450100823396018,0.454065748500913,0.446879533123684,0.459618191117335,0.479289164817481,0.46647933432354,0.490577594839078,0.38264614543997,0.275319704710599,0.461457221336623,0.454839207081413,0.44172092946698,0.462284092785138,0.485522345919629
"Chamaecrista_flexuosa_var_flexuosa",0.894628603454597,0.935675905088161,0.921938447273172,0.960384725483001,0.984662779978822,0.909724594454537,0.79018550931378,0.977725528776411,0.950473423316816,0.841362128829276,0.927284234225388,0.975864689660279,0.848979561708998,0.999021441927037,0.981630676791854,0.970238634960265,0.982766440568917,0.984032579479054,0.67416950288062,NA,0.856961775912912,0.580013189272695,0.463797281918993,0.755432864668763,0.644089156907458,0.895500528525835,0.745696954148889,0.716203217346505,0.900455802533804,0.846472615150855,0.674498965323937,0.68869816086889,0.638711305546864,0.852142428632101,0.759448228837915,0.547933708135212,0.884840837500117,0.839015268020441,0.71981436767533,0.755786619538071,0.739353381789271
