"","Chamaecrista_anceps.asc","Chamaecrista_aristata.asc","Chamaecrista_arrojadoana.asc","Chamaecrista_blanchetii.asc","Chamaecrista_brachystachya.asc","Chamaecrista_burchelli.asc","Chamaecrista_calycioides.asc","Chamaecrista_cardiostegia.asc","Chamaecrista_choriophylla.asc","Chamaecrista_cinerascens.asc","Chamaecrista_confertiformis.asc","Chamaecrista_decora.asc","Chamaecrista_depauperata.asc","Chamaecrista_desvauxii_var_desvauxii.asc","Chamaecrista_desvauxii_var_langsdorffii.asc","Chamaecrista_desvauxii_var_latistipula.asc","Chamaecrista_desvauxii_var_mollissima.asc","Chamaecrista_diphylla.asc","Chamaecrista_distichoclada.asc","Chamaecrista_flexuosa_var_flexuosa.asc","Chamaecrista_lagotois.asc","Chamaecrista_latifolia.asc","Chamaecrista_mucronata.asc","Chamaecrista_nictitans_subsp_brachypoda.asc","Chamaecrista_olesiphylla.asc","Chamaecrista_pascuorum.asc","Chamaecrista_pilosa_var_luxurians.asc","Chamaecrista_potentilla.asc","Chamaecrista_repens_var_multijuga.asc","Chamaecrista_roraimae.asc","Chamaecrista_rossicorum.asc","Chamaecrista_rotundata_var_interstes.asc","Chamaecrista_rotundata_var_rotundata.asc","Chamaecrista_rotundifolia_var_grandiflora.asc","Chamaecrista_simplifacta.asc","Chamaecrista_supplex.asc","Chamaecrista_swainsonii.asc","Chamaecrista_tragacanthoides_var_rasa.asc","Chamaecrista_tragacanthoides_var_tragacanthoides.asc","Chamaecrista_ulmea.asc","Chamaecrista_venulosa.asc"
"Chamaecrista_confertiformis.asc",0.0389744910153176,0.0779622445242799,0.430270025910415,0.638445096444222,0.550892023533443,0.0716521007724223,0.163593691425734,0.121572114376781,0.0505564661303539,0.0369880117864327,NA,0.0562692240473481,0.33534950692259,0.184783575655103,0.0766875138120897,0.109977034313504,0.208694126421048,0.0619476013988381,0.00829652291915417,0.154483250848037,0.00117753265614406,0.00358183746326401,0.024966216082853,0.0787800815569371,0.0139734343470566,0.194763638266757,0.0674900772103597,0.0106325550064049,0.192332535086867,0.226726352573363,0.00826503086277386,0.0390750961384327,0.0112958367325263,0.185502052966019,0.00439116827697206,0.0395484941245201,0.142539815078835,0.0374603370287039,0.0104587806397589,0.0160784957019708,0.124803489640456
"Chamaecrista_decora.asc",0.581744740142048,0.689394900690611,0.595002793763065,0.282181000014532,0.588098815927053,0.135110826496119,0.226972756817173,0.461291147594348,0.661386769151855,0.560694855726901,0.148461710737131,NA,0.0894420919054509,0.170889640525545,0.285999519615492,0.232422492985596,0.267741728502781,0.040573518482055,0.0856782721486635,0.217392080236894,0.0762213409057506,0.221067150375455,0.200313780306801,0.192756956902284,0.360179744212695,0.16366008658244,0.0855632677080722,0.278101465069681,0.187354731438553,0.190516240157534,0.150411894620209,0.575301061089919,0.242113080494569,0.129456035481729,0.12960799885948,0.0409842746156731,0.0729417318710223,0.46243149582711,0.119594170065941,0.269703750232941,0.357726724092066
"Chamaecrista_depauperata.asc",0.109003272030757,0.0991167499636163,0.509591859284666,0.635767441560551,0.657160055412689,0.143895070705132,0.253660149667825,0.237906158583639,0.124549027582438,0.150574300181521,0.633398968146523,0.226210075670066,NA,0.264607207171895,0.153956833723285,0.197311998729401,0.356450484903736,0.135084418235193,0.01635095724269,0.250217105309063,0.00299721637525929,0.0122011883865102,0.0712316881901033,0.13373591787691,0.0221346911422581,0.26920699264433,0.122827044864017,0.0190209372947024,0.245393340507557,0.220593449334666,0.0144282781539735,0.0617432851466462,0.017506080438786,0.252042348188875,0.00438520163957001,0.0645957911180952,0.218461548093318,0.0663747429092231,0.0125794220516117,0.0278768782635593,0.3132115014852
"Chamaecrista_desvauxii_var_desvauxii.asc",0.16126281204103,0.259552972729476,0.421739640936876,0.730223111712684,0.686812400030472,0.337724919283205,0.618074309842225,0.356146902714106,0.220406619940596,0.155296557762503,0.422766350646235,0.394082378646945,0.550089203459457,NA,0.331655426323119,0.438067852610379,0.544644378575466,0.279562448779175,0.00996053973047273,0.65271397750296,0.00195673202388535,0.0195376503206059,0.092254784751593,0.492700945733111,0.0547011290176117,0.621509693719902,0.351626780416724,0.0385534731173878,0.61652301983946,0.462669184018808,0.0178036337714459,0.117511240751713,0.0364462376138237,0.596969814866189,0.0252383804031541,0.243966086052379,0.424734255785171,0.169349468225338,0.0249608823931607,0.0563507701987862,0.251330076256826
"Chamaecrista_desvauxii_var_langsdorffii.asc",0.596713814797357,0.232589912924103,0.583930044841912,0.379870365527581,0.476805746527408,0.462204754827746,0.33028009651469,0.83017734651793,0.55224977487622,0.561010850589223,0.208750178743754,0.563451872203992,0.387791625368859,0.587460796131891,NA,0.586096698685944,0.456917068262546,0.145712045348603,0.0565251155269372,0.435129627485243,0.0387555507409352,0.203109080191854,0.317547181178391,0.529465711709539,0.270865505067493,0.221822675886411,0.158875729400321,0.272050051881004,0.20434519508852,0.223418485217046,0.0958401164044798,0.265782819573856,0.177839883459408,0.201721639355448,0.0942288786016572,0.0934139831903233,0.104565766554132,0.289544078352778,0.0939729926780786,0.0488335992931477,0.475423117314811
"Chamaecrista_desvauxii_var_latistipula.asc",0.435090118468354,0.256885917947918,0.49112802621491,0.509735462453779,0.549111618224913,0.349077116531156,0.396569605249538,0.698305232704741,0.366958452868652,0.388807040201886,0.271091316848409,0.490523658604311,0.446658863010704,0.711061213499192,0.845280826900338,NA,0.519641551215026,0.217561489518034,0.0328672908097722,0.550332085254508,0.00867274535582763,0.0924641154426578,0.247001976706682,0.486937947532292,0.160665128854493,0.323737862291335,0.196320710762572,0.129427580028599,0.29350007172445,0.289443392020682,0.0549938204862805,0.197338322485224,0.115141541054117,0.336748632726813,0.0600574643753535,0.114653216869748,0.173435184608267,0.259994486352304,0.071792343338881,0.0620964462398311,0.448459325687954
"Chamaecrista_desvauxii_var_mollissima.asc",0.310149778972069,0.31407669603721,0.612056786181564,0.660404195594422,0.778174352389872,0.379290340882354,0.463585777124469,0.492696635363783,0.355314246597961,0.305696849084017,0.462408334422775,0.551950698284701,0.669359386911996,0.822414377914877,0.736647439677006,0.793357092769544,NA,0.265491188369516,0.0253727416917707,0.609639400016508,0.00882226286231969,0.0555213118721619,0.13793774059042,0.475179465919605,0.114139917281026,0.434728418709673,0.24401696629272,0.0908356699128235,0.409708168525674,0.443561746002375,0.0433915529177343,0.206971746183328,0.0831276922410513,0.360749479322486,0.0423290410086041,0.154011598938088,0.232505870516665,0.228145266933768,0.0469313566170503,0.0901459071485307,0.447368631430572
"Chamaecrista_diphylla.asc",0.0728046619329187,0.05184964708648,0.178615248272763,0.332729368439901,0.276766326488983,0.235112173321288,0.666133657339987,0.222023674618927,0.0953983748903534,0.0664577745765056,0.172473924642844,0.130996535326757,0.317279447607829,0.570847727064542,0.378584870291351,0.467659318546905,0.542134453849492,NA,0.00462930074568457,0.407016821924924,0.00117025830815187,0.00593328533682003,0.0192222137528442,0.255770491030758,0.0157001366308207,0.280330021404133,0.466241321006903,0.0126421593644426,0.242013931406812,0.203125241369369,0.00625386247800352,0.0212063237814022,0.0116053265233934,0.243604190360228,0.00453473192595,0.411496109358636,0.211995876086578,0.0442276482022393,0.00669378402974663,0.00729602621543701,0.108606163645411
"Chamaecrista_distichoclada.asc",0.356429016169158,0.0781346790092852,0.155755539288182,0.0287118920106378,0.0896259135771987,0.0169075529671723,0.0211053464037458,0.168759270997377,0.155090663730328,0.249225099486608,0.020217528421183,0.194886703297214,0.0508573334220851,0.0387968478006817,0.157361479063859,0.118955525078277,0.0869173911125863,0.0240864647881147,NA,0.016973328705039,0.0872703464135419,0.188182142116549,0.115665592795796,0.0178032624699433,0.179274355464387,0.0111082569349931,0.00541598626708584,0.119525699487802,0.00989661967417355,0.00983178118032935,0.293459602152629,0.093171621307247,0.234683111009301,0.0123081480462129,0.17336412793229,0.00259624423646654,0.00505352917252488,0.145283820284659,0.308870979177851,0.0280486027879705,0.115225358236602
"Chamaecrista_flexuosa_var_flexuosa.asc",0.272500100471444,0.261289545921214,0.490303156510991,0.625171778274521,0.650116710509126,0.340585102587423,0.685726114695062,0.542886004956395,0.325348946227283,0.258891122974394,0.36198802772077,0.466808241260412,0.518427911088636,0.893326029081188,0.714470911562855,0.82208507343214,0.865337091621437,0.704029787395658,0.0689915854910161,NA,0.00635798940418097,0.0467932846998133,0.131733954547769,0.536394299196102,0.100588928273418,0.533258541905631,0.428128577802423,0.081110950883659,0.51808575133374,0.418309757312882,0.0317069402175354,0.155305295149415,0.0690691264026545,0.505929503352243,0.0377207506335232,0.275538503026489,0.354362150261263,0.194584116757428,0.0386350784222497,0.0524986620872991,0.324146357236805
"Chamaecrista_lagotois.asc",0.206594991094633,0.0547155296686004,0.210335096023583,0.0145409331568913,0.0508911687275793,0.0407079138604529,0.0146075696708039,0.216715134517133,0.344626094926355,0.2380388058901,0.00673214857998072,0.178832063663633,0.0274746268232869,0.0248994697474908,0.145872236714922,0.0662739012672828,0.061050682476997,0.0232894272451575,0.127402346350718,0.0610820612612629,NA,0.199288589529317,0.0486276321453885,0.00801728442290195,0.19417412118076,0.00104854501994578,0.000666508608475613,0.302657101254298,0.00131252118102976,0.00171757480290402,0.171904997772944,0.100726416153824,0.146453205592665,0.00135525841707351,0.109500614206294,0.000139689076983029,0.000644092566935539,0.0343402452613565,0.0673934264324383,0.00583618082546145,0.038354231470928
"Chamaecrista_latifolia.asc",0.732428521312898,0.11690092671032,0.510132161156098,0.0449521763650317,0.164049967888626,0.0362226760950388,0.034333818709085,0.469765650799121,0.522237612915327,0.855839228105739,0.0116514592938515,0.44580050284357,0.066860497985553,0.0787008704008322,0.427548154010213,0.25077243341903,0.186018763038492,0.0378751642119134,0.348930606124333,0.157773269919305,0.338283865574668,NA,0.35743811771982,0.0505170866111245,0.546591408244372,0.0117657432274766,0.00814520098075877,0.511536442071191,0.0103491762044793,0.00629978665901143,0.39451655220757,0.348559619829634,0.456796004868584,0.0157184885846593,0.189920022025349,0.00233994038950702,0.00329580304076049,0.177568719583792,0.219074943412506,0.034403044170237,0.243814497904226
"Chamaecrista_mucronata.asc",0.653225570864693,0.157890894137088,0.508733151636643,0.143822919924368,0.280674098184849,0.0545047112215704,0.0898660760019384,0.58770621107254,0.392811932661843,0.717591838902466,0.0667240811995822,0.414332022249783,0.192982640204804,0.217539176860399,0.558193350837255,0.470942483156904,0.308409131076312,0.0759521145925235,0.242290271146725,0.301436659847157,0.13819609200123,0.638887414003377,NA,0.109469648421814,0.295532499070278,0.0816309865608632,0.043487333436426,0.245823002545591,0.0739509222318459,0.0486743343919863,0.161356665930573,0.25125376310898,0.249204619767242,0.11226180316692,0.0844222538924194,0.0162001616224541,0.0519351342906582,0.185203866690343,0.129691132291291,0.0337768986629088,0.353545884882465
"Chamaecrista_nictitans_subsp_brachypoda.asc",0.302190308552011,0.219237323419548,0.359972936613152,0.385013675696864,0.444330366133436,0.539930805933664,0.562937098232607,0.592511204753164,0.368587888781773,0.245974124204867,0.225756378625749,0.442084472921711,0.355606194562783,0.766735460820792,0.797308337071423,0.75756789867391,0.761283667201429,0.57420851777993,0.0690264859061895,0.824487155302175,0.0635037176249471,0.158759383073238,0.255949452058656,NA,0.105427245709807,0.311197321527327,0.305354676405478,0.0934369154246535,0.288938970792167,0.317562544259411,0.0310793742635529,0.138817151238726,0.0683609390237799,0.240907943222059,0.0495876819608916,0.255085764132133,0.146872395458865,0.217075694851061,0.0415655327640317,0.0442481511731946,0.273869216155148
"Chamaecrista_olesiphylla.asc",0.733315182941654,0.242854949018932,0.606670614146469,0.110405016909416,0.27492045228143,0.120588071209049,0.0772941422652991,0.52906920984355,0.623004847903442,0.778492272533994,0.0361896139851239,0.641032160772593,0.0895320734757478,0.169699931434563,0.540574705620525,0.375997496363603,0.313189054712709,0.0663050789221287,0.323470411250733,0.271132303176436,0.349067392422425,0.817299901936001,0.551359845344963,0.277282297361151,NA,0.0369889237354006,0.0241708629254332,0.587808274445067,0.0388275897090817,0.0356654418288086,0.45173917833309,0.469996046808145,0.628557461204019,0.036585289524563,0.304672784818406,0.0101807617516997,0.0134234914564627,0.263655610476621,0.287315775011101,0.0573483925116098,0.286566068893654
"Chamaecrista_pascuorum.asc",0.126870553826311,0.254433288431875,0.378707501145096,0.684750754047624,0.688194743637626,0.205847605221423,0.744735980521572,0.269434985478807,0.152733654815461,0.108596984178123,0.427414945598501,0.36566624228153,0.536721331913015,0.88803294046854,0.46370611183553,0.600823081104994,0.728007626003414,0.563457258682842,0.0393670548945668,0.819583809090029,0.0161328507552455,0.0530773519968389,0.190324746147756,0.616186076105649,0.117703447165496,NA,0.473718150236515,0.0255036985497047,0.732290754185892,0.572652696318553,0.0131764408815841,0.098817522191054,0.0259070516607394,0.640738436385685,0.0196586060619711,0.347264773122823,0.477093140570356,0.167046044884398,0.0236866021965295,0.0556277173404186,0.233413516608022
"Chamaecrista_pilosa_var_luxurians.asc",0.10585746083327,0.125427844024944,0.206049587221309,0.347372719337463,0.359972977208703,0.202611993182276,0.931596449125293,0.259764841222714,0.147762063716378,0.0786063152570742,0.184593038802639,0.236525197042494,0.296880607991219,0.655699765851998,0.377320814560466,0.447901726941917,0.511234684060463,0.750888347315128,0.0225279809760971,0.74078437586611,0.0173802502557436,0.0423732021455043,0.11800352126974,0.605943842802475,0.0864066941639532,0.758728651359956,NA,0.0203120497937114,0.411690600608842,0.284925975764368,0.0063662405191085,0.0473264732655104,0.0149666398878341,0.353210911695246,0.011314019941411,0.677183101937922,0.330144124445819,0.0874098210336328,0.010711572766768,0.0190278692472315,0.113872727062513
"Chamaecrista_potentilla.asc",0.686259308938973,0.167860330524103,0.587037555920071,0.0772083794989381,0.212723169364032,0.124322721586421,0.0688669740671631,0.596703839325102,0.665242015934894,0.739444580882529,0.0281173328688761,0.527806629673548,0.0785779650677846,0.127237888330447,0.529328818862995,0.317483639498949,0.259004619571688,0.0587708843459565,0.243265783108054,0.234631766304912,0.484305514151053,0.77700235639362,0.483106961227465,0.25874088005572,0.852556383202596,0.0880977126449538,0.0757117576980014,NA,0.0262305608430924,0.0230020134453414,0.312838749873302,0.35318399883028,0.387162460501457,0.0249122286923761,0.194360252000209,0.00809995746150716,0.0124231905465858,0.188051123835265,0.150580001170437,0.0324589283436659,0.242946553116628
"Chamaecrista_repens_var_multijuga.asc",0.123661655120295,0.320030560805034,0.385668039899121,0.724552074681049,0.745373832514348,0.191403623894368,0.721174028242956,0.266371867298857,0.159000492424339,0.095113258769925,0.425001493498076,0.390313849046614,0.506674908155552,0.889153756739778,0.429326342486718,0.560527501355191,0.705799823321409,0.519412635004036,0.0347588300955054,0.820871158788594,0.0176152916794029,0.0468874994912264,0.178257571887045,0.580607537267456,0.1186555636774,0.941790759173182,0.711883132049095,0.0871638913027218,NA,0.469908001105164,0.0124986640769789,0.110065756123632,0.0272266112253374,0.688423937216158,0.0226469497181806,0.277668156517103,0.598839580319042,0.175709978024738,0.0234522837639982,0.0699710552449241,0.217212357048579
"Chamaecrista_roraimae.asc",0.110747827377943,0.289484877021043,0.38917798048723,0.582705901367492,0.638528699960425,0.285710506750927,0.520656010633857,0.251801226659118,0.145274279667818,0.0727188312490723,0.497450160305181,0.402286687170676,0.472380092052777,0.756263949747446,0.459249479016406,0.546644753830084,0.735440671714489,0.430817683640848,0.0319686166167534,0.697111643332915,0.012833808133934,0.0293557674917782,0.127115838723441,0.606605814361605,0.108908991571027,0.840002410349195,0.549524932015571,0.0800364246137872,0.749137518232214,NA,0.0158762384605011,0.103681416949739,0.0285682840394365,0.359336334145472,0.0278851357525649,0.220889709653104,0.231455742584473,0.196008152101905,0.0320679883913066,0.072572140016077,0.216388767400351
"Chamaecrista_rossicorum.asc",0.497280695400454,0.145842569700235,0.355456619378896,0.0512950584147054,0.146231789555796,0.0460204070572248,0.0301410321361403,0.299509355615879,0.288878212415504,0.462986907212143,0.0236389107731761,0.356795361185027,0.0561013662516848,0.0711433024339445,0.277289172195851,0.185598256350252,0.151667944475899,0.0328431279715163,0.50975264237693,0.122354506365889,0.300331780159469,0.649134146234755,0.378648658276534,0.119069346455302,0.722890726743208,0.0532076416632035,0.0331375883233508,0.560489685478537,0.0514598813364902,0.0530377586998289,NA,0.189724971480253,0.688021017861236,0.01379933612372,0.456397425598762,0.00260361379780116,0.00406241573632704,0.154121012308202,0.59136369607165,0.0357256233415018,0.14696288006908
"Chamaecrista_rotundata_var_interstes.asc",0.648880367545093,0.496754054251904,0.615203292002937,0.213134882923965,0.494554147908419,0.110760839850962,0.119351629668235,0.452342935700786,0.734806666061518,0.723293178573718,0.102337986086792,0.84472694228229,0.189039889988275,0.285598977092549,0.533648912121357,0.430959378892443,0.456459377289492,0.0804174130973271,0.207849393499486,0.358841829078015,0.216105553965362,0.605050611625174,0.4990810948378,0.329483294856509,0.742648871673464,0.243006386029011,0.14391075560097,0.623905068366633,0.252549890148053,0.243345559710794,0.40493236150338,NA,0.294445066828275,0.0923180905073976,0.132238625645507,0.0161418551326142,0.0460671154177489,0.350869513549659,0.127366161233628,0.189928749160987,0.352248949316189
